Date : 2025-10-10 10:25:05
Directory : d:\EcoTrack-Waste-Management-System-main\client
Total : 765 files,  -159545 codes, -66630 comments, -26503 blanks, all -252678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\unicode.py                                    | Python             |       -277 |        -32 |        -44 |       -353 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\util.py                                       | Python             |       -154 |        -35 |        -47 |       -236 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\__init__.py                                    | Python             |       -100 |        -55 |        -28 |       -183 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\__version__.py                                 | Python             |        -10 |         -3 |         -2 |        -15 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\_internal_utils.py                             | Python             |        -23 |        -17 |         -9 |        -49 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py                                    | Python             |       -334 |       -171 |        -80 |       -585 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\api.py                                         | Python             |        -53 |        -92 |        -13 |       -158 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\auth.py                                        | Python             |       -205 |        -47 |        -64 |       -316 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\certs.py                                       | Python             |         -8 |        -12 |         -5 |        -25 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\compat.py                                      | Python             |        -37 |        -20 |        -11 |        -68 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py                                     | Python             |       -292 |       -188 |        -82 |       -562 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\exceptions.py                                  | Python             |        -37 |        -49 |        -56 |       -142 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\help.py                                        | Python             |        -98 |        -13 |        -21 |       -132 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\requests\hooks.py                                       | Python             |        -14 |        -13 |         -7 |        -34 |
