"filename", "language", "pip requirements", "Python", "Properties", "XML", "Batch", "PowerShell", "comment", "blank", "total"
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\_validate_pyproject\fastjsonschema_validations.py", "Python", 0, 1009, 0, 0, 0, 0, 8, 18, 1035
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\_validate_pyproject\formats.py", "Python", 0, 80, 0, 0, 0, 0, 177, 3, 260
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\expand.py", "Python", 0, 266, 0, 0, 0, 0, 119, 78, 463
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\pyprojecttoml.py", "Python", 0, 322, 0, 0, 0, 0, 93, 79, 494
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\setupcfg.py", "Python", 0, 421, 0, 0, 0, 0, 220, 122, 763
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\dep_util.py", "Python", 0, 12, 0, 0, 0, 0, 9, 5, 26
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\depends.py", "Python", 0, 99, 0, 0, 0, 0, 38, 40, 177
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\discovery.py", "Python", 0, 329, 0, 0, 0, 0, 195, 77, 601
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\dist.py", "Python", 0, 789, 0, 0, 0, 0, 234, 200, 1223
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\errors.py", "Python", 0, 20, 0, 0, 0, 0, 29, 10, 59
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\extension.py", "Python", 0, 28, 0, 0, 0, 0, 108, 13, 149
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\extern\__init__.py", "Python", 0, 49, 0, 0, 0, 0, 15, 13, 77
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\glob.py", "Python", 0, 94, 0, 0, 0, 0, 43, 31, 168
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\installer.py", "Python", 0, 79, 0, 0, 0, 0, 18, 8, 105
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\launch.py", "Python", 0, 19, 0, 0, 0, 0, 10, 8, 37
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\logging.py", "Python", 0, 20, 0, 0, 0, 0, 10, 7, 37
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\monkey.py", "Python", 0, 85, 0, 0, 0, 0, 46, 35, 166
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\msvc.py", "Python", 0, 580, 0, 0, 0, 0, 1000, 124, 1704
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\namespaces.py", "Python", 0, 78, 0, 0, 0, 0, 10, 20, 108
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\package_index.py", "Python", 0, 784, 0, 0, 0, 0, 170, 173, 1127
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\py34compat.py", "Python", 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\sandbox.py", "Python", 0, 352, 0, 0, 0, 0, 76, 103, 531
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\unicode_utils.py", "Python", 0, 28, 0, 0, 0, 0, 5, 10, 43
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\version.py", "Python", 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\wheel.py", "Python", 0, 93, 0, 0, 0, 0, 125, 5, 223
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\windows_support.py", "Python", 0, 16, 0, 0, 0, 0, 7, 7, 30
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Scripts\Activate.ps1", "PowerShell", 0, 0, 0, 0, 0, 108, 360, 35, 503
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Scripts\activate.bat", "Batch", 0, 0, 0, 0, 24, 0, 1, 10, 35
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Scripts\deactivate.bat", "Batch", 0, 0, 0, 0, 16, 0, 0, 7, 23
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\pyvenv.cfg", "Properties", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\EcoTrack-Waste-Management-System-main\python-server\requirements.txt", "pip requirements", 22, 0, 0, 0, 0, 0, 6, 8, 36
"d:\EcoTrack-Waste-Management-System-main\python-server\schedule.py", "Python", 0, 29, 0, 0, 0, 0, 5, 11, 45
"d:\EcoTrack-Waste-Management-System-main\python-server\server.py", "Python", 0, 159, 0, 0, 0, 0, 24, 40, 223
"d:\EcoTrack-Waste-Management-System-main\python-server\spm_demo.py", "Python", 0, 272, 0, 0, 0, 0, 40, 92, 404
